level	syncretism_group	lexeme_id	form	n_cells	cells	past_cells	cross_tense	binyan
vocalized	LX-08bd18db60:V2	LX-08bd18db60	תִּתְפֹּרְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-08f48de8ae:V1	LX-08f48de8ae	תְּשַׁלֵּם	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-08f48de8ae:V2	LX-08f48de8ae	תְּשַׁלֵּמְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-0966d22501:V1	LX-0966d22501	תֻּכְנַס	2	FUT.2MSG|FUT.3FSG		False	HUFAL
vocalized	LX-0966d22501:V2	LX-0966d22501	תֻּכְנַסְנָה	2	FUT.2FPL|FUT.3FPL		False	HUFAL
vocalized	LX-09fb5f3364:V1	LX-09fb5f3364	תִּנְאַף	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-09fb5f3364:V2	LX-09fb5f3364	תִּנְאַפְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0a1e5f5d52:V1	LX-0a1e5f5d52	הִצְטַנֵּן	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	HITPAEL
vocalized	LX-0a1e5f5d52:V2	LX-0a1e5f5d52	הִצְטַנְּנוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	HITPAEL
vocalized	LX-0a1e5f5d52:V3	LX-0a1e5f5d52	תִּצְטַנֵּן	2	FUT.2MSG|FUT.3FSG		False	HITPAEL
vocalized	LX-0a1e5f5d52:V4	LX-0a1e5f5d52	תִּצְטַנֵּנָּה	2	FUT.2FPL|FUT.3FPL		False	HITPAEL
vocalized	LX-0a3565f373:V1	LX-0a3565f373	תִּבְנֶה	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0a3565f373:V2	LX-0a3565f373	תִּבְנֶינָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0a7c205c5f:V1	LX-0a7c205c5f	תָּסֵב	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-0a7c205c5f:V2	LX-0a7c205c5f	תָּסֵבְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-0a98035de4:V1	LX-0a98035de4	תְּאַלֵּף	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-0a98035de4:V2	LX-0a98035de4	תְּאַלֵּפְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-0ab103d61a:V1	LX-0ab103d61a	עוֹרֵר	2	PST.3MSG|IMP.2MSG	PST.3MSG	True	PIEL
vocalized	LX-0ab103d61a:V2	LX-0ab103d61a	עוֹרְרוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	PIEL
vocalized	LX-0ab103d61a:V3	LX-0ab103d61a	תְּעוֹרֵר	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-0ab103d61a:V4	LX-0ab103d61a	תְּעוֹרֵרְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-0ab684b4f0:V1	LX-0ab684b4f0	הִתְאַדּוּ	2	PST.3PL|IMP.2MPL	PST.3PL	True	
vocalized	LX-0ab684b4f0:V2	LX-0ab684b4f0	תִּתְאַדֶּה	2	FUT.2MSG|FUT.3FSG		False	
vocalized	LX-0ab684b4f0:V3	LX-0ab684b4f0	תִּתְאַדֶּינָה	2	FUT.2FPL|FUT.3FPL		False	
vocalized	LX-0abda6f174:V1	LX-0abda6f174	תִּנְגֹּד	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0abda6f174:V2	LX-0abda6f174	תִּנְגֹּדְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0b0fa036c7:V1	LX-0b0fa036c7	תִּקְשֹׁר	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0b0fa036c7:V2	LX-0b0fa036c7	תִּקְשֹׁרְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0b66ab3ba7:V1	LX-0b66ab3ba7	תַּצִּיב	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-0c0a81e9f3:V1	LX-0c0a81e9f3	עָף	2	PST.3MSG|PRS.MSG	PST.3MSG	True	PAAL
vocalized	LX-0c0a81e9f3:V2	LX-0c0a81e9f3	עָפָה	2	PST.3FSG|PRS.FSG	PST.3FSG	True	PAAL
vocalized	LX-0c0a81e9f3:V3	LX-0c0a81e9f3	תָּעוּף	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0c0a81e9f3:V4	LX-0c0a81e9f3	תָּעֹפְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0c0e5ea21c:V1	LX-0c0e5ea21c	תְּקַדֵּשׁ	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-0c0e5ea21c:V2	LX-0c0e5ea21c	תְּקַדֵּשְׁנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-0c712b4b70:V1	LX-0c712b4b70	תְּרַפֵּד	2	FUT.2MSG|FUT.3FSG		False	PIEL
vocalized	LX-0c712b4b70:V2	LX-0c712b4b70	תְּרַפֵּדְנָה	2	FUT.2FPL|FUT.3FPL		False	PIEL
vocalized	LX-0c9db8c268:V1	LX-0c9db8c268	תַּחְלִיט	2	FUT.2MSG|FUT.3FSG		False	HIFIL
vocalized	LX-0c9db8c268:V2	LX-0c9db8c268	תַּחְלֵטְנָה	2	FUT.2FPL|FUT.3FPL		False	HIFIL
vocalized	LX-0d112e9865:V1	LX-0d112e9865	דָּר	2	PST.3MSG|PRS.MSG	PST.3MSG	True	PAAL
vocalized	LX-0d112e9865:V2	LX-0d112e9865	דָּרָה	2	PST.3FSG|PRS.FSG	PST.3FSG	True	PAAL
vocalized	LX-0d112e9865:V3	LX-0d112e9865	תָּדוּר	2	FUT.2MSG|FUT.3FSG		False	PAAL
vocalized	LX-0d112e9865:V4	LX-0d112e9865	תָּדֹרְנָה	2	FUT.2FPL|FUT.3FPL		False	PAAL
vocalized	LX-0d9e372cdb:V1	LX-0d9e372cdb	תֻּצַּל	2	FUT.2MSG|FUT.3FSG		False	HUFAL
vocalized	LX-0d9e372cdb:V2	LX-0d9e372cdb	תֻּצַּלְנָה	2	FUT.2FPL|FUT.3FPL		False	HUFAL
