duplicate_type	record_ids	lemma	details
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכַּחְתִּי	cells PST.1SG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכַּחְתֶּם	cells PST.2MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכַּחְתֶּן	cells PST.2FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-505eab44cd|LX-828b91b0c3	הִתְוַכַּחְתָּ	cells PST.2MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הֵחַלְנוּ	cells PST.1PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הֵחַלְתְּ	cells PST.2FSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הֵחַלְתִּי	cells PST.1SG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הֵחַלְתָּ	cells PST.2MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הַחַלְתֶּם	cells PST.2MPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הַחַלְתֶּן	cells PST.2FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הָחֵל	cells IMP.2MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-598169fddb|LX-f66a0ca4da	הָחֵלְנָה	cells IMP.2FPL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-4028bdf1e9|LX-9e25ae0545	הוֹבִישׁ	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-435ebe95bf|LX-43d9eac2da	הוֹגֶה	cells IMP.2MSG|PRS.MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-435ebe95bf|LX-43d9eac2da	הוֹגָה	cells PRS.FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-01e1ef29e8|LX-82f9f837f2	הוּחַל	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-3cd3d29812|LX-c2004fa5b5	זָנָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-3cd3d29812|LX-c2004fa5b5	זָנוּ	cells PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-e10a856b0b|LX-f55cc7a592	חָדָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-4615529d04|LX-f4db6e236f	חָלָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-4615529d04|LX-f4db6e236f	חָלוּ	cells PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-1fffcfadc8|LX-cf3a338b24	חָסָה	cells PRS.FSG|PST.3FSG|PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-1fffcfadc8|LX-cf3a338b24	חָסוּ	cells PST.3PL
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-3ffb39c040|LX-d87b5c856f	חָשׁ	cells PST.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-2cca5b2c4c|LX-e0150c9798	יְבַיֵּשׁ	cells FUT.3MSG
SAME_VOCALIZED_FORM_DIFFERENT_LEXEMES	LX-76ce1005b0|LX-ad8d500584	יִצְרֹר	cells FUT.3MSG
